Test_NO,Test_Name,H_LMT,L_LMT,Test_Value,Test_Result,Unit,Class,Compare,Code,Script,Function
1-001,Debug Indicators-LED 13 ON,PASS,FAIL,unknow,unknow,NA,Debug Indicators,EQS,E1001,T1_debug_indicators,check_LED13_on
1-002,Debug Indicators-LED 20 ON,PASS,FAIL,unknow,unknow,NA,Debug Indicators,EQS,E1002,T1_debug_indicators,check_LED20_on
1-003,Debug Indicators-LED 25 ON,PASS,FAIL,unknow,unknow,NA,Debug Indicators,EQS,E1003,T1_debug_indicators,check_LED25_on
1-004,Debug Indicators-LED 85 ON,PASS,FAIL,unknow,unknow,NA,Debug Indicators,EQS,E1004,T1_debug_indicators,check_LED85_on
1-005,Debug Indicators-LED 13 OFF,PASS,FAIL,unknow,unknow,NA,Debug Indicators,EQS,E1005,T1_debug_indicators,check_LED13_off
1-006,Debug Indicators-LED 20 OFF,PASS,FAIL,unknow,unknow,NA,Debug Indicators,EQS,E1006,T1_debug_indicators,check_LED20_off
1-007,Debug Indicators-LED 25 OFF,PASS,FAIL,unknow,unknow,NA,Debug Indicators,EQS,E1007,T1_debug_indicators,check_LED25_off
1-008,Debug Indicators-LED 85 OFF,PASS,FAIL,unknow,unknow,NA,Debug Indicators,EQS,E1008,T1_debug_indicators,check_LED85_off
2-001,JTAG-LED 25 ON,PASS,FAIL,unknow,unknow,NA,JTAG,EQS,E2001,T2_jtag,
2-002,JTAG-Infrastructure,PASS,FAIL,unknow,unknow,NA,JTAG,EQS,E2002,T2_jtag,
2-003,JTAG-Interconnect,PASS,FAIL,unknow,unknow,NA,JTAG,EQS,E2003,T2_jtag,
2-004,JTAG-Buswire,PASS,FAIL,unknow,unknow,NA,JTAG,EQS,E2004,T2_jtag,
2-005,JTAG-Resistor,PASS,FAIL,unknow,unknow,NA,JTAG,EQS,E2005,T2_jtag,
2-006,JTAG-Flash: U17,PASS,FAIL,unknow,unknow,NA,JTAG,EQS,E2006,T2_jtag,
2-007,JTAG-Flash: U18,PASS,FAIL,unknow,unknow,NA,JTAG,EQS,E2007,T2_jtag,
2-008,JTAG-Flash: U19,PASS,FAIL,unknow,unknow,NA,JTAG,EQS,E2008,T2_jtag,
2-009,JTAG-Flash: U21,PASS,FAIL,unknow,unknow,NA,JTAG,EQS,E2009,T2_jtag,
3-001,ACU eMMC Flash Programming,PASS,FAIL,unknow,unknow,NA,eMMC Flash Programming,EQS,E3001,T3_flash_programming,
4-001,Boot from eMMC,PASS,FAIL,unknow,unknow,NA,Boot from eMMC,EQS,E4001,T4_boot,boot
4-002,Boot from eMMC-LED 13 ON,PASS,FAIL,unknow,unknow,NA,Boot from eMMC,EQS,E4002,T4_boot,boot_LED13
4-003,Boot from eMMC-Version,ge046c70,FAIL,unknow,unknow,NA,Boot from eMMC,EQS,E4003,T4_check_version,version
4-004,Boot from eMMC-Version,ge046c70,FAIL,unknow,unknow,NA,Boot from eMMC,NO,E4004,T4_check_version,version_initial
4-005,Boot from eMMC-Duplex,PASS,FAIL,unknow,unknow,NA,Boot from eMMC,EQS,E4004,T4_duplex,
5-001,Cold Reset,PASS,FAIL,unknow,unknow,NA,Cold Reset,EQS,E5001,T5_cold_reset,
